읍면동,위치,인근주소,데이터기준일자
중문동,동산낚시 앞,제주특별자치도 서귀포시 대포동 778,2024-08-23
중문동,대포마을회관 앞,제주특별자치도 서귀포시 대포동 1598-4,2024-08-23
중문동,보우힐 (소공원),제주특별자치도 서귀포시 대포동 1908-3,2024-08-23
중문동,미덕하이츠빌라 앞,제주특별자치도 서귀포시 대포복개로 42,2024-08-23
중문동,회수로터리서쪽,제주특별자치도 서귀포시 회수동 799-4,2024-08-23
중문동,회수다리 옆,제주특별자치도 서귀포시 회수동 355-1,2024-08-23
중문동,마을서쪽자비사가는길,제주특별자치도 서귀포시 하원동 1202-1,2024-08-23
중문동,하원동 예가,제주특별자치도 서귀포시 하원동 1276,2024-08-23
중문동,마을회관입구 앞(AN빌라 남),제주특별자치도 서귀포시 법화로 9,2024-08-23
중문동,하원마을회관 뒤쪽,제주특별자치도 서귀포시 하원동 493,2024-08-23
중문동,풍림빌리지,제주특별자치도 서귀포시 대포복개로 95,2024-08-23
중문동,DM하우스,제주특별자치도 서귀포시 일주서로 664,2024-08-23
중문동,누리빌주차장,제주특별자치도 서귀포시 1100로 49번길 28,2024-08-23
중문동,상지타운,제주특별자치도 서귀포시 중문동 2334-2,2024-08-23
중문동,노인복지타운,제주특별자치도 서귀포시 회수동 656-5,2024-08-23
중문동,약천사입구,제주특별자치도 서귀포시 하원동 1710-1,2024-08-23
예래동,상예 2 (3통),제주특별자치도 서귀포시 존재로 12,2024-08-23
예래동,우남동,제주특별자치도 서귀포시 상예동 1718-15,2024-08-23
예래동,정문동 (2통),제주특별자치도 서귀포시 상예동 1442-5,2024-08-23
예래동,하예 포구,제주특별자치도 서귀포시 하예동 1744-2,2024-08-23
예래동,가가동,제주특별자치도 서귀포시 상예동 4563-1,2024-08-23
예래동,상예복지센터 밑,제주특별자치도 서귀포시 상예로 70,2024-08-23
예래동,상예마을회관 옆,제주특별자치도 서귀포시 예래로144번길 42,2024-08-23
예래동,하예동무료주차장,제주특별자치도 서귀포시 하예동 266,2024-08-23
예래동,주민센터 밑,제주특별자치도 서귀포시 상예동 531-5,2024-08-23
예래동,마을금고 서쪽,제주특별자치도 서귀포시 상예동 3172-1,2024-08-23
예래동,하예하동마을회관,제주특별자치도 서귀포시 예래로 416,2024-08-23
예래동,대평입구,제주특별자치도 서귀포시 하예동 1831-3,2024-08-23
예래동,논지물 입구,제주특별자치도 서귀포시 예래로 253,2024-08-23
